D064888,Clinical Trial Articles
D023361,Clinical Trial Articles
D016430,Clinical Trial Articles
D002363,Clinical Trial Articles
D017426,Clinical Trial Articles
D016454,Review Articles
D000068397,Clinical Trial Articles
D065007,Clinical Trial Articles
D016449,Clinical Trial Articles
D017429,Clinical Trial Articles
D023362,Clinical Trial Articles
D018848,Clinical Trial Articles
D018486,Clinical Trial Articles
D017065,Guideline Articles
D016448,Clinical Trial Articles
D017428,Clinical Trial Articles
D017427,Clinical Trial Articles
D016429,Clinical Trial Articles
D016431,Guideline Articles
D000076362, Clinical Trial Articles
D000073843, Clinical Trial Articles
